Data from Cr-10ng_USB2E8911_002.txt Node
Date: Tue May 14 15:06:05 PDT 2019
User: admin
Spectrometer: USB2E891
Trigger mode: 1
Integration Time (sec): 1.000000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
183.106	-231.28
183.502	5.72
183.898	9.72
184.293	3.72
184.689	9.72
185.085	12.72
185.48	13.72
185.876	13.72
186.271	14.72
186.667	18.72
187.062	14.72
187.457	15.72
187.853	12.72
188.248	16.72
188.643	20.72
189.039	13.72
189.434	12.72
189.829	21.72
190.224	14.72
190.619	15.72
191.014	14.72
191.409	12.72
191.805	19.72
192.199	15.72
192.594	15.72
192.989	16.72
193.384	15.72
193.779	14.72
194.174	15.72
194.569	19.72
194.964	20.72
195.358	17.72
195.753	19.72
196.148	18.72
196.542	20.72
196.937	22.72
197.331	17.72
197.726	19.72
198.12	24.72
198.515	24.72
198.909	15.72
199.304	21.72
199.698	19.72
200.092	16.72
200.487	14.72
200.881	19.72
201.275	21.72
201.669	23.72
202.063	18.72
202.458	21.72
202.852	25.72
203.246	23.72
203.64	26.72
204.034	20.72
204.428	20.72
204.822	24.72
205.216	19.72
205.609	17.72
206.003	21.72
206.397	22.72
206.791	16.72
207.184	19.72
207.578	22.72
207.972	19.72
208.365	28.72
208.759	22.72
209.153	29.72
209.546	22.72
209.94	21.72
210.333	24.72
210.726	25.72
211.12	22.72
211.513	22.72
211.906	23.72
212.3	22.72
212.693	20.72
213.086	20.72
213.479	22.72
213.873	21.72
214.266	25.72
214.659	24.72
215.052	25.72
215.445	27.72
215.838	27.72
216.231	24.72
216.624	22.72
217.016	28.72
217.409	22.72
217.802	24.72
218.195	31.72
218.588	26.72
218.98	31.72
219.373	28.72
219.766	26.72
220.158	24.72
220.551	30.72
220.943	23.72
221.336	24.72
221.728	30.72
222.121	28.72
222.513	27.72
222.906	32.72
223.298	27.72
223.69	24.72
224.082	25.72
224.475	31.72
224.867	46.72
225.259	34.72
225.651	29.72
226.043	24.72
226.435	32.72
226.827	32.72
227.219	28.72
227.611	24.72
228.003	30.72
228.395	29.72
228.787	29.72
229.179	29.72
229.57	32.72
229.962	32.72
230.354	39.72
230.746	32.72
231.137	36.72
231.529	39.72
231.92	34.72
232.312	34.72
232.703	41.72
233.095	40.72
233.486	33.72
233.878	34.72
234.269	37.72
234.66	32.72
235.052	34.72
235.443	32.72
235.834	42.72
236.225	40.72
236.616	47.72
237.008	40.72
237.399	47.72
237.79	33.72
238.181	47.72
238.572	42.72
238.963	46.72
239.354	60.72
239.744	66.72
240.135	59.72
240.526	49.72
240.917	45.72
241.308	48.72
241.698	50.72
242.089	51.72
242.48	58.72
242.87	55.72
243.261	62.72
243.651	59.72
244.042	56.72
244.432	60.72
244.823	59.72
245.213	78.72
245.603	76.72
245.994	85.72
